"name"
"100 AM"
"600 @ Toa Payoh"
"Anchorpoint"
"Beauty World Centre"
"Beauty World Plaza"
"Bedok Point"
"Causeway Point"
"Century Square"
"Change Alley"
"City Square Mall"
"City Vibe"
"CityLink Mall"
"EastPoint Mall"
"ERA APAC Centre"
"FairPrice Hub"
"Forum The Shopping Mall"
"Fu Lu Shou Complex"
"Holland Road Shopping Centre"
"Holland Piazza"
"Hougang 1"
"Hougang Mall"
"IMM"
"Jem"
"KINEX"
"Leisure Park Kallang"
"Lot One"
"Marina Bay Link Mall"
"Mustafa Centre"
"myVillage @ Serangoon"
"nex"
"Orchard Central"
"Plaza Singapura"
"Queensway Shopping Centre"
"Rivervale Mall"
"Rochester Mall"
"Seletar Mall"
"Sembawang Shopping Centre"
"Sim Lim Square"
"Sim Lim Tower"
"Stamford House"
"The CentrePoint"
"The Majestic"
"The Star Vista"
"Tampines 1"
"Tampines Mall"
"Tekka Centre"
"Thomson Plaza"
"Upper Serangoon Shopping Centre"
"VivoCity"
"West Mall"
"White Sands"
"Wisma Geylang Serai"
"Yew Tee Point"
"313@Somerset"
"AMK Hub"
"Alexandra Retail Centre"
"Bedok Mall"
"Bugis Junction"
"Bukit Panjang Plaza"
"Capitol Singapore"
"Changi City Point"
"Chinatown Point"
"Clarke Quay Central"
"Claymore Connect"
"Clementi Mall"
"Compass One"
"Djitsun Mall Bedok"
"Esplanade Mall"
"Far East Plaza"
"Funan"
"Golden Mile Complex"
"Great World"
"HarbourFront Centre"
"Hillion Mall"
"ION Orchard"
"International Plaza"
"JCube"
"Jewel Changi Airport"
"Junction 8"
"Junction 10"
"Junction Nine"
"Jurong Point"
"Kallang Wave Mall"
"Katong Shopping Centre"
"Lucky Plaza"
"Mandarin Gallery"
"The Shoppes at Marina Bay Sands"
"Marina Square"
"Millenia Walk"
"Ngee Ann City"
"Northpoint City"
"Novena Square"
"One Raffles Place"
"Orchard Gateway"
"Orchard Towers"
"PLQ Mall"
"Palais Renaissance"
"Parkway Parade"
"Paya Lebar Square"
"Peninsula Plaza"
"People Park Centre"
"People Park Complex"
"Raffles City"
"Shaw House and Centre"
"SingPost Centre"
"South Beach"
"Square 2"
"Sun Plaza"
"Suntec City Mall"
"Tang Plaza"
"Tekka Place"
"The Concourse"
"The Paragon"
"Tiong Bahru Plaza"
"United Square"
"Valley Point"
"Waterway Point"
"West Coast Plaza"
"Westgate"
"Wheelock Place"
"Wisma Atria"
"Wisteria Mall"
"i12 Katong"
"888 Plaza"
"Admiralty Place"
"Buangkok Square"
"Canberra Plaza"
"Dawson Place"
"Depot Heights Shopping Centre"
"Elias Mall"
"Fajar Shopping Centre"
"Gek Poh Shopping Centre"
"Greenridge Shopping Centre"
"Heartland Mall"
"HDB Hub"
"Limbang Shopping Centre"
"Loyang Point"
"Northshore Plaza"
"Oasis Terraces"
"Our Tampines Hub"
"Pasir Ris West Plaza"
"Pioneer Mall"
"Punggol Plaza"
"Rivervale Plaza"
"Sunshine Place"
"Taman Jurong Shopping Centre"
"Tampines Mart"
"Vista Point"
"Woodlands Mart"
"Woodlands North Plaza"
"Yew Tee Square"
"321 Clementi"
"Cathay Cineleisure Orchard"
"GV Yishun"
"The Cathay"
