iter	RMSE
0	150933.355
1	144155.0628
2	138067.6603
3	132507.6638
4	127602.6089
5	123103.772
6	119063.7164
7	115453.1815
8	112120.1443
9	109188.7885
10	106510.7595
11	104012.0707
12	101775.2782
13	99817.68801
14	97883.99418
15	96197.30499
16	94635.06349
17	93138.18454
18	91391.26491
19	89874.36832
20	88379.63487
21	87318.33849
22	86258.08083
23	85170.25384
24	84201.77958
25	83007.33647
26	82112.52489
27	81159.75048
28	80286.00681
29	79553.03819
30	78797.69708
31	77994.69344
32	77261.27914
33	76494.96359
34	75799.32962
35	75222.36875
36	74622.24472
37	74095.02245
38	73573.23621
39	72988.8996
40	72325.59993
41	71759.83821
42	71291.08531
43	70811.77516
44	70475.50698
45	70056.04644
46	69592.22212
47	69157.94891
48	68788.74297
49	68486.864
50	68152.69996
51	67730.07456
52	67265.40649
53	66798.17831
54	66484.06558
55	66071.44569
56	65805.86314
57	65466.78171
58	65051.75461
59	64691.94696
60	64359.75231
61	63858.68745
62	63641.37898
63	63374.45717
64	63102.36261
65	62850.00551
66	62580.01334
67	62383.39
68	62202.18463
69	61866.45183
70	61647.61187
71	61402.50499
72	61195.94783
73	61023.91366
74	60767.74517
75	60571.28178
76	60343.21284
77	60171.36942
78	59988.26005
79	59829.2385
80	59630.30847
81	59426.63332
82	59224.6939
83	59029.89174
84	58817.46302
85	58579.14298
86	58470.37354
87	58220.74743
88	58011.85087
89	57879.45712
90	57740.67333
91	57604.35098
92	57481.05301
93	57309.13471
94	57198.01318
95	56994.82904
96	56891.67788
97	56775.59627
98	56679.32913
99	56489.13562
100	56376.23588
101	56251.68275
102	56161.01698
103	55919.59629
104	55805.68865
105	55652.91751
106	55560.85143
107	55457.89528
108	55314.29578
109	55240.08773
110	55133.5334
111	54940.49292
112	54845.14373
113	54754.74756
114	54661.77866
115	54441.40457
116	54290.07739
117	54213.64611
118	54039.82811
119	53966.38029
120	53826.69988
121	53736.51068
122	53662.09999
123	53540.0735
124	53458.62517
125	53335.77837
126	53229.58191
127	53150.09862
128	53077.21466
129	52988.46834
130	52851.58666
131	52795.29968
132	52730.11569
133	52602.59232
134	52530.60774
135	52411.3892
136	52328.65795
137	52289.64153
138	52225.64492
139	52162.10638
140	52115.71735
141	52059.9212
142	51889.66708
143	51838.87694
144	51743.38396
145	51596.03054
146	51526.86246
147	51438.54772
148	51375.07502
149	51328.13615
150	51226.21294
151	51144.71421
152	51089.60679
153	50925.09044
154	50847.45193
155	50758.20835
156	50695.54224
157	50642.20068
158	50574.92444
159	50484.92214
160	50410.56004
161	50371.59808
162	50314.38957
163	50228.05889
164	50167.39997
165	50117.55489
166	49998.99881
167	49958.08944
168	49858.44817
169	49788.80668
170	49725.04032
171	49683.97727
172	49593.30543
173	49513.62409
174	49450.5243
175	49399.35198
176	49241.03346
177	49195.94791
178	49110.43571
179	49066.08165
180	49034.36049
181	48977.38108
182	48933.023
183	48887.84476
184	48809.48923
185	48622.12928
186	48578.19611
187	48549.09007
