iter	Passed	Remaining
0	32	32742
1	69	34547
2	111	37186
3	150	37481
4	200	39859
5	238	39476
6	275	39101
7	326	40491
8	357	39410
9	395	39136
10	430	38737
11	469	38669
12	513	38985
13	550	38759
14	594	39028
15	625	38449
16	666	38511
17	706	38530
18	742	38359
19	780	38265
20	821	38292
21	863	38396
22	913	38801
23	956	38915
24	992	38706
25	1032	38663
26	1064	38347
27	1100	38211
28	1135	38031
29	1161	37550
30	1207	37730
31	1243	37619
32	1284	37625
33	1310	37238
34	1345	37105
35	1381	36989
36	1414	36813
37	1473	37300
38	1520	37456
39	1558	37402
40	1613	37740
41	1643	37480
42	1667	37121
43	1714	37249
44	1744	37022
45	1773	36780
46	1806	36637
47	1844	36573
48	1871	36318
49	1896	36042
50	1928	35879
51	1963	35795
52	1997	35698
53	2021	35407
54	2054	35295
55	2076	35000
56	2097	34702
57	2120	34446
58	2141	34159
59	2159	33833
60	2179	33557
61	2197	33251
62	2216	32964
63	2240	32763
64	2256	32454
65	2271	32151
66	2287	31855
67	2302	31556
68	2316	31254
69	2332	30988
70	2349	30746
71	2364	30478
72	2380	30226
73	2395	29976
74	2410	29728
75	2423	29469
76	2437	29223
77	2450	28969
78	2467	28767
79	2481	28535
80	2495	28315
81	2512	28128
82	2528	27932
83	2541	27716
84	2554	27496
85	2567	27282
86	2577	27053
87	2592	26865
88	2604	26663
89	2619	26488
90	2636	26338
91	2652	26177
92	2666	26003
93	2680	25840
94	2693	25655
95	2707	25498
96	2721	25331
97	2736	25191
98	2749	25019
99	2760	24842
100	2769	24655
101	2780	24480
102	2790	24299
103	2802	24141
104	2812	23975
105	2824	23818
106	2833	23648
107	2843	23483
108	2853	23329
109	2864	23175
110	2875	23031
111	2887	22890
112	2898	22750
113	2908	22608
114	2920	22477
115	2932	22346
116	2943	22213
117	2953	22074
118	2964	21949
119	2974	21810
120	2984	21679
121	2996	21567
122	3007	21441
123	3017	21313
124	3028	21196
125	3039	21083
126	3050	20969
127	3060	20852
128	3072	20744
129	3083	20635
130	3095	20533
131	3105	20419
132	3115	20310
133	3127	20214
134	3138	20109
135	3149	20006
136	3161	19916
137	3171	19810
138	3182	19715
139	3195	19627
140	3205	19527
141	3215	19426
142	3226	19335
143	3236	19240
144	3248	19153
145	3259	19067
146	3270	18980
147	3282	18895
148	3293	18809
149	3303	18720
150	3314	18635
151	3324	18549
152	3334	18462
153	3345	18377
154	3355	18295
155	3366	18215
156	3377	18135
157	3387	18054
158	3398	17976
159	3409	17899
160	3419	17822
161	3431	17752
162	3444	17685
163	3456	17618
164	3468	17551
165	3479	17478
166	3490	17411
167	3500	17334
168	3511	17264
169	3522	17197
170	3533	17130
171	3543	17057
172	3554	16992
173	3566	16930
174	3577	16863
175	3589	16806
176	3603	16757
177	3616	16700
178	3630	16651
179	3643	16598
180	3658	16555
181	3675	16520
182	3695	16500
183	3712	16465
184	3728	16427
185	3745	16392
186	3759	16342
187	3770	16286
188	3783	16233
189	3795	16182
190	3808	16132
191	3821	16083
192	3833	16029
193	3845	15977
194	3857	15922
195	3869	15873
196	3880	15815
197	3891	15762
198	3902	15709
199	3913	15654
200	3925	15605
201	3938	15557
202	3949	15504
203	3960	15454
204	3971	15401
205	3984	15356
206	3993	15296
207	4003	15242
208	4012	15187
209	4024	15139
210	4035	15090
211	4047	15044
212	4058	14996
213	4069	14948
214	4080	14898
215	4090	14848
216	4101	14799
217	4112	14750
218	4123	14704
219	4134	14658
220	4147	14618
221	4158	14572
222	4169	14527
223	4181	14485
224	4192	14440
225	4203	14397
226	4213	14349
227	4224	14302
228	4234	14257
229	4244	14210
230	4253	14160
231	4263	14112
232	4271	14062
233	4281	14017
234	4291	13970
235	4301	13926
236	4311	13880
237	4321	13837
238	4332	13794
239	4341	13747
240	4352	13708
241	4363	13668
242	4375	13630
243	4385	13588
244	4395	13545
245	4405	13502
246	4415	13461
247	4427	13424
248	4438	13386
249	4449	13349
250	4460	13310
251	4472	13274
252	4482	13234
253	4493	13196
254	4504	13160
255	4515	13121
256	4525	13084
257	4537	13049
258	4548	13014
259	4558	12974
260	4569	12937
261	4579	12899
262	4589	12860
263	4598	12819
264	4608	12782
265	4619	12746
266	4630	12712
267	4641	12676
268	4651	12640
269	4662	12606
270	4673	12571
271	4685	12539
272	4696	12507
273	4706	12469
274	4716	12435
275	4727	12401
276	4740	12371
277	4751	12339
278	4761	12305
279	4773	12274
280	4785	12243
281	4795	12208
282	4805	12174
283	4816	12143
284	4825	12106
285	4836	12075
286	4847	12041
287	4861	12017
288	4873	11990
289	4885	11961
290	4896	11930
291	4908	11900
292	4918	11868
293	4929	11838
294	4939	11803
295	4950	11773
296	4960	11742
297	4972	11712
298	4983	11683
299	4994	11653
300	5005	11624
301	5016	11594
302	5026	11563
303	5037	11532
304	5048	11503
305	5059	11473
306	5070	11445
307	5081	11415
308	5090	11384
309	5102	11356
310	5114	11330
311	5126	11304
312	5137	11277
313	5149	11249
314	5159	11220
315	5171	11194
316	5183	11168
317	5194	11140
318	5204	11111
319	5216	11084
320	5227	11057
321	5238	11029
322	5249	11001
323	5259	10973
324	5270	10946
325	5280	10917
326	5291	10889
327	5300	10859
328	5311	10833
329	5323	10807
330	5332	10778
331	5342	10749
332	5354	10725
333	5363	10694
334	5375	10670
335	5386	10644
336	5397	10619
337	5408	10592
338	5419	10567
339	5430	10542
340	5441	10516
341	5452	10490
342	5465	10468
343	5476	10443
344	5488	10419
345	5498	10392
346	5509	10368
347	5520	10342
348	5530	10315
349	5541	10292
350	5553	10269
351	5564	10244
352	5575	10219
353	5586	10194
354	5596	10167
355	5607	10143
356	5618	10120
357	5628	10094
358	5639	10069
359	5650	10045
360	5661	10021
361	5671	9996
362	5683	9973
363	5693	9948
364	5704	9923
365	5715	9900
366	5726	9877
367	5738	9855
368	5752	9837
369	5765	9817
370	5778	9796
371	5790	9775
372	5802	9754
373	5814	9732
374	5826	9711
375	5838	9689
376	5851	9668
377	5863	9647
378	5876	9628
379	5890	9610
380	5902	9589
381	5912	9565
382	5923	9542
383	5934	9520
384	5945	9497
385	5954	9472
386	5965	9449
387	5977	9427
388	5987	9404
389	5997	9380
390	6008	9358
391	6019	9336
392	6030	9314
393	6042	9294
394	6053	9272
395	6064	9250
396	6076	9228
397	6087	9207
398	6097	9184
399	6108	9163
400	6120	9142
401	6132	9123
402	6144	9102
403	6156	9081
404	6168	9062
405	6177	9038
406	6188	9017
407	6199	8995
408	6210	8973
409	6220	8951
410	6231	8929
411	6242	8908
412	6252	8887
413	6264	8866
414	6274	8845
415	6284	8823
416	6295	8801
417	6305	8779
418	6316	8758
419	6327	8737
420	6337	8715
421	6348	8694
422	6358	8674
423	6370	8653
424	6382	8634
425	6394	8615
426	6405	8595
427	6416	8575
428	6429	8557
429	6441	8538
430	6453	8519
431	6463	8498
432	6474	8478
433	6486	8459
434	6497	8439
435	6509	8420
436	6520	8400
437	6532	8381
438	6542	8360
439	6552	8340
440	6563	8319
441	6574	8300
442	6585	8279
443	6596	8260
444	6607	8241
445	6618	8221
446	6630	8202
447	6641	8182
448	6651	8162
449	6663	8144
450	6675	8125
451	6687	8107
452	6699	8089
453	6709	8069
454	6720	8049
455	6731	8030
456	6743	8012
457	6755	7994
458	6767	7976
459	6778	7957
460	6789	7938
461	6800	7919
462	6810	7899
463	6821	7879
464	6832	7861
465	6843	7842
466	6855	7824
467	6866	7806
468	6878	7787
469	6888	7768
470	6899	7749
471	6911	7730
472	6921	7712
473	6932	7692
474	6943	7674
475	6954	7656
476	6964	7635
477	6974	7616
478	6986	7598
479	6997	7580
480	7007	7561
481	7019	7543
482	7030	7525
483	7042	7507
484	7053	7489
485	7064	7471
486	7076	7454
487	7086	7435
488	7099	7418
489	7109	7400
490	7120	7381
491	7132	7364
492	7142	7345
493	7157	7331
494	7168	7313
495	7179	7294
496	7190	7277
497	7202	7260
498	7214	7243
499	7225	7225
500	7236	7207
501	7246	7188
502	7257	7171
503	7269	7153
504	7280	7136
505	7291	7118
506	7303	7101
507	7314	7083
508	7326	7067
509	7338	7051
510	7348	7032
511	7360	7015
512	7371	6997
513	7383	6980
514	7394	6964
515	7404	6945
516	7414	6927
517	7425	6909
518	7435	6890
519	7446	6873
520	7456	6855
521	7466	6837
522	7479	6821
523	7490	6804
524	7501	6787
525	7513	6770
526	7525	6754
527	7536	6737
528	7546	6719
529	7557	6701
530	7568	6684
531	7579	6667
532	7590	6650
533	7601	6633
534	7613	6617
535	7624	6599
536	7635	6583
537	7647	6567
538	7658	6550
539	7669	6532
540	7680	6516
541	7691	6499
542	7702	6482
543	7714	6466
544	7726	6450
545	7740	6436
546	7752	6420
547	7764	6404
548	7776	6387
549	7787	6371
550	7800	6356
551	7813	6341
552	7824	6324
553	7835	6307
554	7846	6291
555	7857	6274
556	7867	6257
557	7879	6241
558	7894	6228
559	7910	6215
560	7923	6200
561	7937	6186
562	7952	6172
563	7966	6158
564	7979	6143
565	7992	6128
566	8005	6113
567	8020	6099
568	8033	6085
569	8046	6069
570	8057	6053
571	8068	6037
572	8079	6020
573	8090	6004
574	8101	5987
575	8110	5969
576	8120	5953
577	8131	5936
578	8142	5920
579	8153	5904
580	8164	5887
581	8175	5871
582	8186	5855
583	8197	5839
584	8207	5822
585	8217	5805
586	8228	5789
587	8240	5773
588	8251	5757
589	8262	5741
590	8272	5725
591	8282	5708
592	8292	5691
593	8303	5675
594	8313	5658
595	8324	5642
596	8334	5626
597	8345	5610
598	8356	5594
599	8366	5577
600	8376	5561
601	8388	5546
602	8399	5530
603	8410	5514
604	8421	5498
605	8433	5482
606	8443	5467
607	8455	5451
608	8466	5435
609	8477	5420
610	8490	5405
611	8502	5390
612	8513	5374
613	8525	5359
614	8536	5343
615	8546	5327
616	8556	5311
617	8566	5294
618	8578	5279
619	8593	5266
620	8605	5251
621	8617	5236
622	8628	5221
623	8639	5205
624	8651	5190
625	8661	5174
626	8671	5158
627	8681	5142
628	8691	5126
629	8703	5111
630	8714	5096
631	8726	5081
632	8737	5065
633	8749	5051
634	8760	5035
635	8772	5020
636	8782	5004
637	8794	4990
638	8805	4974
639	8816	4959
640	8827	4944
641	8838	4928
642	8849	4913
643	8860	4897
644	8870	4882
645	8881	4866
646	8891	4851
647	8903	4836
648	8914	4821
649	8925	4805
650	8936	4790
651	8945	4774
652	8955	4759
653	8966	4743
654	8977	4728
655	8988	4713
656	8999	4698
657	9009	4682
658	9020	4667
659	9031	4652
660	9043	4637
661	9052	4622
662	9064	4607
663	9077	4593
664	9092	4580
665	9106	4566
666	9119	4552
667	9131	4538
668	9144	4524
669	9157	4510
670	9170	4496
671	9184	4482
672	9196	4468
673	9209	4454
674	9221	4440
675	9233	4425
676	9244	4410
677	9254	4395
678	9265	4380
679	9276	4365
680	9286	4350
681	9298	4335
682	9309	4320
683	9320	4305
684	9330	4290
685	9342	4276
686	9354	4261
687	9365	4247
688	9377	4232
689	9389	4218
690	9401	4204
691	9412	4189
692	9423	4174
693	9433	4159
694	9444	4144
695	9455	4129
696	9466	4115
697	9477	4100
698	9488	4085
699	9499	4071
700	9509	4056
701	9520	4041
702	9532	4027
703	9543	4012
704	9554	3997
705	9566	3983
706	9578	3969
707	9589	3955
708	9601	3940
709	9612	3926
710	9623	3911
711	9632	3896
712	9643	3881
713	9653	3866
